iter	Passed	Remaining
0	6	1279
1	11	1132
2	16	1101
3	21	1053
4	25	1011
5	31	1020
6	36	1001
7	41	989
8	45	975
9	51	976
10	57	983
11	61	960
12	65	942
13	70	931
14	74	916
15	79	909
16	83	901
17	88	889
18	91	875
19	96	868
20	100	857
21	105	850
22	109	839
23	113	833
24	118	831
25	123	823
26	127	819
27	131	810
28	136	804
29	139	791
30	144	789
31	149	783
32	154	782
33	159	780
34	160	756
35	165	753
36	170	749
37	175	749
38	180	746
39	185	741
40	190	738
41	194	732
42	199	727
43	203	722
44	215	741
45	223	748
46	229	745
47	235	744
48	241	742
49	246	738
50	251	734
51	255	728
52	261	725
53	267	722
54	271	716
55	275	709
56	280	703
57	284	696
58	289	692
59	294	686
60	298	680
61	303	674
62	307	669
63	312	664
64	317	658
65	321	652
66	326	648
67	331	643
68	335	636
69	342	636
70	347	631
71	352	627
72	358	624
73	363	619
74	369	615
75	381	622
76	388	620
77	394	616
78	399	612
79	404	606
80	415	610
81	419	604
82	424	598
83	429	592
84	433	587
85	438	581
86	443	575
87	447	569
88	451	563
89	457	559
90	464	556
91	470	551
92	474	546
93	479	540
94	483	534
95	488	529
96	492	523
97	498	518
98	502	512
99	506	506
100	510	500
101	514	494
102	520	489
103	524	484
104	528	478
105	533	472
106	537	466
107	541	461
108	545	455
109	549	449
110	554	444
111	557	438
112	562	432
113	566	427
114	570	421
115	574	416
116	578	410
117	582	405
118	587	399
119	592	394
120	596	389
121	601	384
122	610	381
123	614	376
124	619	371
125	623	366
126	638	366
127	642	361
128	646	355
129	651	350
130	655	345
131	660	340
132	664	334
133	669	329
134	674	324
135	678	319
136	683	314
137	687	308
138	691	303
139	695	297
140	698	292
141	702	286
142	707	281
143	711	276
144	715	271
145	719	266
146	723	261
147	728	255
148	732	250
149	736	245
150	740	240
151	744	235
152	748	229
153	753	224
154	756	219
155	760	214
156	764	209
157	768	204
158	773	199
159	777	194
160	782	189
161	787	184
162	791	179
163	795	174
164	799	169
165	806	165
166	811	160
167	816	155
168	822	150
169	827	145
170	831	140
171	835	136
172	840	131
173	844	126
174	848	121
175	853	116
176	858	111
177	863	106
178	867	101
179	871	96
180	875	91
181	879	86
182	884	82
183	887	77
184	892	72
185	896	67
186	900	62
187	905	57
188	909	52
189	913	48
190	918	43
191	922	38
192	927	33
193	931	28
194	935	23
195	939	19
196	943	14
197	947	9
198	951	4
199	956	0
