iter	Passed	Remaining
0	11	2358
1	17	1704
2	23	1536
3	29	1436
4	35	1368
5	42	1384
6	46	1270
7	47	1143
8	50	1073
9	55	1060
10	57	982
11	61	963
12	66	952
13	70	940
14	74	923
15	75	867
16	79	859
17	84	855
18	89	853
19	90	814
20	94	807
21	98	799
22	102	789
23	106	783
24	110	775
25	111	747
26	115	742
27	120	739
28	121	715
29	125	710
30	129	705
31	133	701
32	138	703
33	144	706
34	145	687
35	152	696
36	157	695
37	161	690
38	166	688
39	168	672
40	172	668
41	174	657
42	175	641
43	179	637
44	185	638
45	189	634
46	202	659
47	206	655
48	207	640
49	216	650
50	222	649
51	222	634
52	228	633
53	233	631
54	238	627
55	240	619
56	241	606
57	247	606
58	252	602
59	271	633
60	276	630
61	288	641
62	293	639
63	309	657
64	318	660
65	324	658
66	335	666
67	342	664
68	350	665
69	357	663
70	368	669
71	378	673
72	394	685
73	400	682
74	424	706
75	431	704
76	439	702
77	447	699
78	453	694
79	459	688
80	466	684
81	473	682
82	480	677
83	485	670
84	492	666
85	497	659
86	503	654
87	509	649
88	514	642
89	519	634
90	524	628
91	530	622
92	534	614
93	539	607
94	543	601
95	549	594
96	554	588
97	558	581
98	565	576
99	572	572
100	578	567
101	583	561
102	590	555
103	594	549
104	599	542
105	603	535
106	608	528
107	612	522
108	617	515
109	621	508
110	626	502
111	631	496
112	637	490
113	641	483
114	645	477
115	650	470
116	654	464
117	659	458
118	663	451
119	668	445
120	672	438
121	677	432
122	681	426
123	686	420
124	691	414
125	696	408
126	701	402
127	705	396
128	711	391
129	717	386
130	722	380
131	728	375
132	734	369
133	739	364
134	745	359
135	752	353
136	758	348
137	763	343
138	769	337
139	775	332
140	783	327
141	790	322
142	801	319
143	809	314
144	815	309
145	821	303
146	829	299
147	836	293
148	841	288
149	847	282
150	854	277
151	862	272
152	869	266
153	877	262
154	883	256
155	892	251
156	899	246
157	907	241
158	915	236
159	925	231
160	934	226
161	941	220
162	950	215
163	957	210
164	965	204
165	975	199
166	998	197
167	1005	191
168	1016	186
169	1023	180
170	1030	174
171	1042	169
172	1052	164
173	1063	158
174	1079	154
175	1089	148
176	1097	142
177	1103	136
178	1110	130
179	1116	124
180	1123	117
181	1133	112
182	1140	105
183	1147	99
184	1155	93
185	1168	87
186	1181	82
187	1190	75
188	1198	69
189	1204	63
190	1211	57
191	1221	50
192	1231	44
193	1240	38
194	1269	32
195	1297	26
196	1307	19
197	1318	13
198	1329	6
199	1339	0
