iter	Passed	Remaining
0	2	424
1	3	300
2	3	260
3	5	246
4	5	227
5	6	217
6	7	211
7	8	209
8	9	201
9	10	195
10	11	198
11	12	192
12	13	188
13	14	186
14	14	182
15	15	178
16	16	173
17	16	171
18	17	169
19	18	169
20	19	168
21	20	166
22	21	166
23	22	166
24	23	164
25	24	163
26	25	162
27	26	159
28	26	158
29	27	157
30	28	154
31	29	152
32	29	150
33	30	150
34	31	149
35	32	148
36	33	147
37	34	146
38	35	144
39	36	144
40	36	142
41	37	141
42	37	138
43	38	137
44	39	136
45	40	135
46	41	133
47	41	131
48	42	130
49	43	129
50	43	127
51	44	127
52	45	126
53	46	125
54	47	124
55	48	123
56	49	123
57	50	122
58	51	122
59	52	121
60	52	120
61	53	119
62	54	119
63	55	118
64	56	118
65	58	118
66	59	117
67	59	116
68	60	115
69	61	114
70	63	115
71	64	114
72	66	114
73	66	113
74	67	112
75	68	111
76	69	110
77	70	109
78	70	108
79	71	107
80	72	106
81	73	105
82	74	104
83	74	103
84	75	102
85	76	101
86	77	100
87	77	99
88	78	98
89	79	97
90	80	96
91	81	95
92	82	94
93	83	93
94	84	93
95	85	92
96	86	91
97	87	90
98	88	89
99	88	88
100	89	88
101	90	87
102	91	86
103	92	85
104	93	84
105	93	83
106	94	82
107	95	81
108	96	80
109	96	79
110	97	78
111	98	77
112	99	76
113	100	76
114	101	75
115	102	74
116	103	73
117	104	72
118	105	71
119	106	70
120	106	69
121	107	68
122	108	68
123	109	67
124	110	66
125	111	65
126	112	64
127	112	63
128	113	62
129	114	61
130	115	60
131	116	59
132	116	58
133	117	57
134	118	57
135	119	56
136	120	55
137	121	54
138	122	53
139	123	52
140	123	51
141	124	50
142	125	50
143	126	49
144	127	48
145	128	47
146	129	46
147	130	45
148	131	44
149	132	44
150	132	43
151	133	42
152	135	41
153	136	40
154	137	39
155	137	38
156	138	37
157	139	37
158	140	36
159	141	35
160	142	34
161	142	33
162	143	32
163	144	31
164	145	30
165	146	29
166	147	29
167	148	28
168	149	27
169	150	26
170	151	25
171	152	24
172	152	23
173	153	22
174	154	22
175	155	21
176	155	20
177	156	19
178	157	18
179	158	17
180	158	16
181	159	15
182	160	14
183	161	14
184	162	13
185	162	12
186	163	11
187	164	10
188	165	9
189	166	8
190	166	7
191	167	6
192	168	6
193	168	5
194	169	4
195	170	3
196	171	2
197	172	1
198	173	0
199	173	0
